addCart time: 1.2505s|createOrder time: 1.8815s
addCart time: 1.5443s|createOrder time: 2.0665s
addCart time: 1.2260s|createOrder time: 2.2486s
addCart time: 1.3078s|createOrder time: 2.3265s
addCart time: 1.5340s|createOrder time: 2.3859s
addCart time: 1.4361s|createOrder time: 2.2634s
addCart time: 1.4668s|createOrder time: 2.2490s
addCart time: 1.5663s|createOrder time: 2.4681s
addCart time: 1.3724s|createOrder time: 2.4948s
addCart time: 1.3550s|createOrder time: 2.5476s
addCart time: 1.6146s|createOrder time: 2.6178s
addCart time: 1.5538s|createOrder time: 2.7547s
addCart time: 1.5728s|createOrder time: 2.8212s
addCart time: 1.5950s|createOrder time: 2.7214s
addCart time: 1.5241s|createOrder time: 2.7720s
addCart time: 1.5159s|createOrder time: 5.8150s
addCart time: 1.1256s|createOrder time: 1.8632s
addCart time: 1.4596s|createOrder time: 6.2767s
addCart time: 1.1483s|createOrder time: 2.0455s
addCart time: 1.2891s|createOrder time: 2.0095s
addCart time: 1.2323s|createOrder time: 2.2732s
addCart time: 1.3123s|createOrder time: 2.1574s
addCart time: 1.2805s|createOrder time: 2.1531s
addCart time: 1.2648s|createOrder time: 1.9202s
addCart time: 1.2811s|createOrder time: 2.2183s
addCart time: 1.7122s|createOrder time: 1.5297s
addCart time: 1.2842s|createOrder time: 3.2899s
addCart time: 1.2728s|createOrder time: 3.7758s
addCart time: 1.3080s|createOrder time: 4.2468s
addCart time: 1.0874s|createOrder time: 2.1707s
addCart time: 1.2420s|createOrder time: 5.0626s
addCart time: 1.0826s|createOrder time: 1.8253s
addCart time: 1.1416s|createOrder time: 1.7673s
addCart time: 1.2557s|createOrder time: 4.3610s
addCart time: 1.1818s|createOrder time: 1.6918s
addCart time: 1.2728s|createOrder time: 1.9923s
addCart time: 1.2697s|createOrder time: 2.0139s
addCart time: 1.2173s|createOrder time: 2.1533s
addCart time: 1.3156s|createOrder time: 2.1705s
addCart time: 1.2721s|createOrder time: 2.5322s
addCart time: 1.3965s|createOrder time: 2.1249s
addCart time: 1.3257s|createOrder time: 2.1907s
addCart time: 1.1107s|createOrder time: 4.4279s
addCart time: 1.3823s|createOrder time: 1.8853s
addCart time: 1.1791s|createOrder time: 1.8485s
addCart time: 1.2375s|createOrder time: 2.2029s
addCart time: 1.3298s|createOrder time: 2.4372s
addCart time: 1.1108s|createOrder time: 1.8381s
addCart time: 1.1506s|createOrder time: 1.9513s
addCart time: 1.1115s|createOrder time: 2.5506s
addCart time: 1.2015s|createOrder time: 1.8388s
addCart time: 1.2954s|createOrder time: 1.8727s
addCart time: 1.2663s|createOrder time: 1.8077s
addCart time: 1.3480s|createOrder time: 1.9001s
addCart time: 1.2098s|createOrder time: 1.8272s
addCart time: 1.3333s|createOrder time: 1.8776s
addCart time: 1.1553s|createOrder time: 1.9391s
addCart time: 1.2324s|createOrder time: 1.7899s
addCart time: 1.1610s|createOrder time: 1.8501s
addCart time: 1.1347s|createOrder time: 1.7916s
addCart time: 1.1938s|createOrder time: 5.5923s
addCart time: 1.0692s|createOrder time: 1.7650s
addCart time: 1.1584s|createOrder time: 1.7983s
addCart time: 1.3392s|createOrder time: 2.0919s
addCart time: 1.2469s|createOrder time: 2.0915s
addCart time: 1.3159s|createOrder time: 1.9759s
addCart time: 1.3498s|createOrder time: 6.4249s
addCart time: 2.1540s|createOrder time: 5.9290s
addCart time: 1.1037s|createOrder time: 5.6213s
addCart time: 1.1131s|createOrder time: 5.9578s
addCart time: 1.2126s|createOrder time: 1.8833s
addCart time: 1.1341s|createOrder time: 1.9813s
addCart time: 1.2260s|createOrder time: 1.7707s
addCart time: 1.0794s|createOrder time: 1.7336s
addCart time: 1.9602s|createOrder time: 1.7827s
addCart time: 1.0512s|createOrder time: 2.2490s
addCart time: 1.2345s|createOrder time: 1.8349s
addCart time: 1.1312s|createOrder time: 1.9354s
addCart time: 1.3338s|createOrder time: 1.9655s
addCart time: 1.1547s|createOrder time: 1.8368s
addCart time: 1.1128s|createOrder time: 1.6176s
addCart time: 1.1986s|createOrder time: 1.8626s
addCart time: 1.1401s|createOrder time: 3.2429s
addCart time: 0.9751s|createOrder time: 1.9518s
addCart time: 1.0114s|createOrder time: 1.5796s
addCart time: 1.1195s|createOrder time: 17.4436s
addCart time: 1.3167s|createOrder time: 16.9296s
addCart time: 1.3986s|createOrder time: 16.8528s
addCart time: 1.1583s|createOrder time: 11.9776s
addCart time: 1.1447s|createOrder time: 11.8197s
addCart time: 1.2986s|createOrder time: 12.7862s
addCart time: 1.0510s|createOrder time: 9.7899s
addCart time: 1.1847s|createOrder time: 11.1874s
addCart time: 1.1536s|createOrder time: 10.8314s
addCart time: 1.0329s|createOrder time: 2.0745s
addCart time: 1.1090s|createOrder time: 1.7456s
addCart time: 1.0343s|createOrder time: 1.9828s
addCart time: 1.2925s|createOrder time: 1.8578s
addCart time: 1.2184s|createOrder time: 1.9637s
addCart time: 1.0761s|createOrder time: 1.6566s
